Unnamed: 0,Unnamed: 1,January,Unnamed: 3,Unnamed: 4,February,Unnamed: 6,Unnamed: 7,March,Unnamed: 9,Unnamed: 10,April,Unnamed: 12,Unnamed: 13,May,Unnamed: 15,Unnamed: 16,June,Unnamed: 18,Unnamed: 19,July,Unnamed: 21,Unnamed: 22,August,Unnamed: 24,Unnamed: 25,September,Unnamed: 27,Unnamed: 28,October,Unnamed: 30,Unnamed: 31,November,Unnamed: 33,Unnamed: 34,December,Unnamed: 36,Unnamed: 37,Unnamed: 38,Accumulate for Year 2024,Unnamed: 40,Unnamed: 41,Unnamed: 42
Region,Cabin,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,,Total kWh,Sales kWh,Losses,Consumer
SVR-KR,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-HQ,-,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,58,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-KR,8,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-HQ,100B,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,101B,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,102,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,110,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,111,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,111C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
SVR-BV,111I,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
